year,elec_import,elec_usage
2006,17924.58087552,48310.2468
2007,18581.17627944,47580.5016
2008,18752.57286912,48167.3124
2009,17620.23727512,44000.429004
2010,14014.1483964,43817.507964
2011,14802.292,42333.925
2012,14245.9555329936,40767.385932
2013,15218.1998980668,41932.4130864
2014,22909.061392128,48326.0688
2015,23773.3448471208,48326.0688
