,0.5999999999999999,0.6999999999999998,0.7999999999999999,0.8999999999999999,0.9999999999999999,1.0999999999999999
6,2.2564771085699986,2.249771199018205,2.2423348980026603,2.235254776482624,2.227309977671974,2.2029938994799494
9,2.3596951677046616,2.351065974950612,2.3418694062394687,2.333230795400215,2.3238682662557975,2.296670956292085
12,2.4679352436329034,2.4573711849663753,2.44634786109641,2.43605688572833,2.4251548345591365,2.394889812050034
15,2.581489460095976,2.5689994449919333,2.556107852938809,2.5440901832018072,2.531073129300314,2.4980326092202083
18,2.700654755580135,2.6862841041181937,2.6715104838632175,2.657712776725131,2.642487329468917,2.606505098823769
21,2.8257395411453934,2.8095743029528046,2.7929356291865393,2.777327184479823,2.7598152804044918,2.720734165819067
24,2.957066499631673,2.9392390407153264,2.920787176498359,2.903363173897501,2.8835028647122187,2.8411752781509034
