,0.6,0.7,0.8,0.9,1.0,1.1
6,1.4508384566627437,1.5253941216065698,1.5847891052914498,1.6333154643720635,1.6727974227720588,1.6955808908891254
9,1.4898034166770806,1.5680734508992962,1.6307405908514636,1.681973104317549,1.7237055108483605,1.7478037339901078
12,1.5287208783135637,1.611240629977809,1.6773918875680216,1.7315049872380235,1.7756233825615848,1.8011522937277522
15,1.5699637761127623,1.6568832312492228,1.726634952544701,1.7837121668270535,1.830134899793622,1.857251952031311
18,1.6115969240610046,1.7031919207050839,1.776790081576857,1.8370412306038324,1.8859430532948145,1.9147900024144238
21,1.6535986049317979,1.7501603559615213,1.8278699979217135,1.891525458610882,1.9431011432417027,1.9738414070667885
24,1.695944411876416,1.7977786775091553,1.879883474777942,1.9471942695317639,2.001658230735133,2.034477069083225
