,ac,dc_norm,dc
BP_Solar_BP580_2002_E_,1110.8636682061754,1224.768582122054,97883.50508319456
BP_Solar_BP585__2001_,1118.3706175557656,1226.5662653482057,105852.73002786344
BP_Solar_BP585_2000_E_,1110.1788656055473,1218.8860787013032,103117.76225813024
BP_Solar_BP585_2002_E_,1115.542537169099,1224.805300629544,104059.45834148607
BP_Solar_BP980_2001_E_,1089.5794974969222,1200.3877130235858,96155.85736404131
BP_Solar_BP990_2001_E_,1103.858121306956,1206.8805153038709,108778.55460536848
BP_Solar_MSX110_2003_E_,1146.4037656886771,1238.7580654620785,137353.49429843528
BP_Solar_MSX120_2003_E_,1150.950390661324,1238.9990101186988,148645.18924196053
BP_Solar_MSX60_2003_E_,1101.111357209267,1240.1826111195567,74224.92927550548
BP_Solar_MSX64_2003_E_,1109.4529166261018,1242.006119016932,79550.49192303448
BP_Solar_SX110_2003_E_,1144.2648245263017,1237.030549726143,135932.33898720698
BP_Solar_SX110S_2003_E_,1144.5292211209087,1236.7777496491394,135491.4760295625
BP_Solar_SX120_2003_E_,1150.950390661324,1238.9990101186988,148645.18924196053
BP_Solar_SX120S_2003_E_,1151.1637389192606,1238.7580654620785,148175.284758312
BP_Solar_SX140_2003_E_,1159.0477839213313,1239.713344797292,173237.54280197358
BP_Solar_SX150_2003_E_,1163.2343584936118,1240.876324056205,186224.51433273492
BP_Solar_SX160_2003_E_,1166.869181699962,1242.0061190169315,198658.87873675823
BP_Solar_SX160B_2005_E_,1166.1732598317874,1241.0317684249326,199806.11471641413
BP_Solar_SX170B_2005_E_,1169.0295831459741,1241.9133787919868,211025.9213243344
BP_Solar_SX305_2007_E_,316.826266174703,1235.2282457223139,5502.94183469291
BP_Solar_SX310_2007_E_,698.5206083026357,1238.7451379335155,12278.441807197003
BP_Solar_SX3130_2007_E_,1155.4245119588513,1239.052296696139,160767.03549632404
BP_Solar_SX3140_2007_E_,1159.7452843588803,1239.953753911216,173593.52554757023
BP_Solar_SX3150_2003_E_,1137.05852217029,1213.9648690748586,182185.77772640937
BP_Solar_SX3160_2003_E_,1170.40801250409,1246.0909583624364,199006.9565052729
BP_Solar_SX3190_2007_E_,1176.4062159502812,1245.8312559672859,236740.33024643944
BP_Solar_SX3195_2007_E_,1177.3973091409543,1246.1555972068622,242033.3247119056
BP_Solar_SX320_2007_E_,918.6182533713267,1236.7048692064527,24724.2037451754
BP_Solar_SX3200_2007_E_,1178.5784190492222,1246.4772907628503,249195.73996930904
BP_Solar_SX330_2007_E_,1003.3617787084521,1236.7048692064527,36982.422408749764
BP_Solar_SX340_2007_E_,1050.7906111686627,1239.052296696139,49301.89088553937
BP_Solar_SX350_2007_E_,1082.9200488464912,1239.953753911216,62927.6530109942
BP_Solar_SX365_2007_E_,1109.1771013606856,1240.39680437679,80556.33006344626
BP_Solar_SX375_2003_E_,1094.5868198948147,1211.8986228828098,91201.43086504586
BP_Solar_SX380_2003_E_,1100.7759450218884,1213.2496132165193,97157.02902637885
